order_id,customer_id,product_name,category,price,quantity,order_date,shipping_city,discount_pct,rating
1,CUST-0202,Mouse,networking  ,1173.04,6,2024-12-01,Aberdeen,,4.6
2,CUST-0448,Switch,Peripherals,$1450.04,3,06-30-2025,,24.1,1.7
3,CUST-0370,Laptop,storage  ,217.93,4,31/05/2025,Nottingham,13.0,5.0
4,CUST-0206,Camera,ELECTRONICS,112.3,3,06/06/2025,Manchester,23.6,1.5
5,CUST-0171,Wrist Rest,peripherals  ,1668.83,1,26/04/2024,Edinburgh,13.9,1.1
6,CUST-0288,Fan,Peripherals,2059.16,5,25/04/2024,Brighton,28.2,4.6
7,CUST-0120,Router,Electronics,1956.13,1,08-01-2025,Plymouth,14.6,2.0
8,CUST-0202,Tablet,Office,1361.8,1,2025-08-09,York,13.9,3.9
9,CUST-0221,Adapter,Office,254.17,2,06/03/2024,Dundee,23.6,4.2
10,CUST-0314,Tablet,Peripherals,1721.67,4,2025-03-22,Leicester,24.6,4.4
11,CUST-0430,Camera,peripherals  ,$608.51,6,2025-04-08,Exeter,,5.0
12,CUST-0187,Shredder,networking  ,2278.12,8,01-30-2025,Newcastle,5.4,2.2
13,CUST-0472,External HDD,Storage,2096.47,3,2025-07-04,London,14.0,3.8
14,CUST-0199,Adapter,Gaming,1774.91,1,07-10-2025,Plymouth,29.0,1.5
15,CUST-0459,Drone,Networking,2372.37,3,2024-11-21,,22.6,2.6
16,CUST-0251,VR Headset, Office,83.4,3,31/03/2024,Bath,24.3,4.4
17,CUST-0230,KVM Switch,ACCESSORIES,1841.82,5,10/03/2024,Bristol,1.0,2.5
18,CUST-0249,Desk Lamp,Office,828.96,4,03/10/2025,Belfast,14.0,3.4
19,CUST-0408,Ethernet Cable,Peripherals,$2265.63,4,08-23-2025,Glasgow,19.4,3.0
20,CUST-0357,Headphones,Peripherals,$670.35,9,2025-01-03,Cardiff,24.9,3.6
21,CUST-0443,Projector,Gaming,1813.52,7,2025-08-06,Dundee,1.5,4.9
22,CUST-0393,Camera,networking  ,2194.73,4,2024-02-18,Dundee,25.6,1.2
23,CUST-0485,KVM Switch,Gaming,108.93,3,09-17-2025,London,16.5,3.3
24,CUST-0291,Power Bank,Accessories,997.13,6,05-12-2024,Manchester,5.9,4.5
25,CUST-0376,Docking Station,networking  ,1906.96,3,14/06/2024,York,,2.9
26,CUST-0260,Drone,Accessories,1140.02,6,2025-01-07,Southampton,8.5,
27,CUST-0413,Switch,Storage,671.8,9,04-22-2025,Bath,15.9,3.2
28,CUST-0121,Screen Protector, Audio,$553.41,6,23/04/2025,Belfast,1.6,2.3
29,CUST-0352,Server Rack,storage  ,333.14,4,13/08/2025,Cardiff,4.8,1.6
30,CUST-0335,Switch,storage  ,2143.54,5,26/09/2025,Belfast,24.4,4.4
31,CUST-0444,VR Headset,Storage,1440.51,6,2024-03-27,Stoke,4.0,3.1
32,CUST-0148,RAM Module,Electronics,195.58,3,16/01/2024,Liverpool,7.0,4.7
33,CUST-0158,Wrist Rest, Audio,959.54,8,12-23-2024,Oxford,13.6,4.2
34,CUST-0269,Mouse,networking  ,$922.5,4,01/09/2025,Derby,15.5,3.8
35,CUST-0287,RAM Module,Storage,458.44,8,2024-12-15,Dundee,22.9,
36,CUST-0370,RAM Module,Audio,1091.59,3,11-11-2025,Liverpool,13.4,2.7
37,CUST-0289,Adapter,,833.59,7,2025-01-09,Leeds,,1.8
38,CUST-0274,Screen Protector,peripherals  ,857.8,9,2024-10-27,Reading,18.6,4.6
